SAMPLE_ID,Actinmeanct,CarmmeanCt,TLRaverage,CRAFctaverage,H2AVavgct,PGRPaverage,HSP70averageCt,BMP2average,GRB2average,PGEEP4ctav
N_M_5,25.305,29.21,38.94268974,29.835,28.03,38.95159424,30.985,26.37796535,27.39578677,29.915
N_M_6,24.79,28.04,35.74366905,27.795,26.34,34.39171322,26.195,25.03125392,25.49519483,29.635
N_M_7,24.295,27.985,35.64630608,27.18,25.265,35.27097949,31.95,24.75547048,25.51787006,29.545
N_M_8,23.74,28.41,35.64857459,27.34,25.795,37.26133509,32.73,24.48825299,24.7631536,29.32
S_M_1,24.605,27.795,35.35937522,29.125,26.92,36.87857363,33.09,24.97894155,26.78016034,30.525
S_M_2,23.805,27.595,34.28761589,27.625,25.96,35.87237687,32.805,25.78652553,26.9521525,30.205
S_M_3,24.055,28.11,35.55691474,28.59,26.015,36.26999906,26.475,25.20090508,27.64270373,29.72
S_M_4,25.095,28.105,34.47637888,16.96,25.395,35.96760959,31.23,25.05660068,27.47724964,29.105
S_M_5,24.375,28.885,36.564498,18.66,27.075,37.67450395,33.455,25.21254,27.2385114,29.305
S_M_6,24.51,28.345,34.75313126,28.52,26.565,35.80917892,33.185,25.85004208,28.37895794,30.775
S_M_7,22.78,27.915,39.27745986,27.58,26.14,35.34808546,33.45,26.49718284,27.00021,29.98
S_M_8,22.82,28.59,33.44900018,28.085,26.545,34.23897455,32.55,24.55506098,26.43374718,29.045
